boy_toy;boy_toy;music_classic;boy_toy;sport_stuff;music_rap;sport_stuff;books;books;hightec;hightec;books;music_pop;movies;music_pop;hightec;makup_beauty;music_rap;makup_beauty;gardening;movies;makup_beauty;gardening;movies;boy_toy;hightec;sport_stuff;music_rap;music_pop;makup_beauty;sport_stuff;music_rock;music_rap;sport_stuff;books;hightec;hightec;books;sport_stuff;books;books;music_pop;music_pop;sport_stuff;hightec;sport_stuff;hightec;movies;hightec;hightec
0;0;0;0;0;0;0;2,41678397749401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,20645604804459;0;0;0;1,43951034545898;0;0;2,27908565582665;0;0;3,62630593899;0;3,04464079441719;0;0;0;0
0;0;0;0,5;0;0;0;0;4,77506070201055;0;2,82569936235701;0;0;0;0;0;0;0;4,13255167007446;0,5;0;0;0;0;0;0;0;4,57931524309298;3,77502447868466;0;3,3734459170948;0;0;0;0;0;0;0;3,2287296714395;0;2,1242370778342;0;2,76310955908294;0;0;0;0;0,512412671936868;0;0
0;0;0,982278321861419;0;0;0;3,91270497483793;0;0;0;0;3,16354855902658;0;0;0;0;0;0;0;0;0;4,21412011385622;0;0;0;0;0;0;0;0;0;0;0;3,1261318913317;0;0;0;0;0;4,84638157852291;3,72882270812988;0;0;0;0;4,01422820939414;0;0;0;0
0;0;0;3,85660709294333;0;1,30669548702738;1,34867857412839;0;0;0;0;0;0;0;0;0;0;1,62649548548576;0;0;0;0;0;0;0;0;1,63652530342179;0;0;0;1,22865295420804;3,8237869412749;0;0;1,23844563366773;0;0;2,97371200517458;0;0;0;0;0;0;0;0;4,50709239929313;0;0;0
0;4,74331431870503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,56430456627361;2,82041095794198;0;0;1,47504181297265;0;1,97186736761214;4,85468486829413;0;0;2,52591235261686;0;0;1,0527155483387;0;1,57053636413558;0;0;0;4,8285090270585;0;0;3,74154228053128;2,00745096337397;0;1,24544059356928;0;0;1,86417772893988;0;0;0;0
0;0;0;3,55577681123082;0;0;0;4,03566923273526;4,83575303984608;0;0;4,02905594093215;0;0;0;0;0;1,79391804630585;0;0;0;4,18897470840671;0;0;0;0;1,33889076176048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,41928269291263
0;0;0;0,255143642425537;0;0;0;0;0;0;0;0;0;0;0;4,86763182369416;0;2,98218611626988;0;1,96611134729633;0;0,5;0;0;0;0;0;2,57801312933583;0;0,5;0;0;0;3,81840735153221;0;0;0;0;4,76514713455231;0;0;3,98477578163147;0;0;0;0;0;0;0;0
0;0;0;0;4,92581701278687;0;0;0;0;0;2,90917641246187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,55746179100008;2,37974940258067;3,43692965220517;0;0;0;3,35468384220949;4,59082072488536;0;4,58020294996919;3,85289262181748;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1,67950463047228;0;0;0;0;0;0;0;0;0;0;0;0;0;2,29634323776529;0;3,90914819059388;0;0;2,34153365220015;1,13913425111172;0;0;0;1,57395734990666;0;0;0;0;0;0;0;0;0;0;0;0;0;4,40617752047543;0;0;2,64213893266494;0;0
0;0;0;0;0;0;0,971764276489506;0;0;0;0;4,09776809257351;0;1,64642009448559;0;0;2,69069732012725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,8003891719507;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;2,11811900749715;0
0;0,5;0;0,5;0;0;0;1,37945413589478;0;0;4,74024779151205;0;0;0;0;0;0,5;0;0;0,88085663336369;0;0;0;0;0;0;0;0;2,79341507879711;0;0;0;0;0;0;0;0;0;0;0;0;1,92530443189913;0;0;0;0;3,61791261593714;0;0;0
0;0;0;0;0;0;1,53030382959652;0;0;0;0;0;0;0;0;4,10557273640557;0;2,48960800817684;0;0;0;0;0;0;0;0;0;0;0;0;0;1,46430543366089;0;0;3,44613983735728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0,688262567477423;0;4,4543205124579;0;0;0;0;0;0;0;1,09555713813545;0;2,59787130355835;0;0;0;0;0;0;0;0;1,10592657076471;0;0;0;0;0;0;0;0;0;0;0;1,37072204978705;0;0;0;0;1,93540930698412;0;0;0;0;0;0
0,879593953667019;0;0;0;0;0;0;0;0;0;0;4,3696313725643;0;0;0;0;0;1,05031832123656;0,5;0;0;0;0;0;0;0;0;0;0;0;0;3,46473799760674;0;0;4,77159268677774;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;3,7625601330132
0;0;0;0;1,38843038835955;0;0;0;0;0;0;0;0;2,89881640993935;0;0;0;0;0;0;0;0;0;0;0;0;0;1,26146518637494;0;0;0;0;0;1,59540632208595;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81707839519581;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1,84306648878523;0;0;0;0;0;0;0;0;0,624074398597737;0;0;0;0;2,73299731394881;2,53093344789507;0,5;0;0;2,39179915254554;0;0;0;0;0;0;0;0;0;0;0;4,84083467248866;0;3,33447159935463;0;0;0
0;0;4,42391241408135;0;0;0,821963589555567;0;0;0;0,545880712590125;0;4,98397188958897;0;0;0;0;0;0;0;0;0;4,09124821754696;0;0;0;2,82596049775647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1,33072663859032;0;0;0;0;1,73129450703566;4,19131978470428;0;1,47997293829917;2,22946316456863;0;0,5;0;0;0;0;0;0;0;3,31533197537779;0;0;2,38954994892215;0;0;0;0;0,5;0;0;0;0,719969361191601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,68507947874492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,07012489720719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,13324109051993;0
0;0;0;0;0;0;0;0;0;0;0;0;2,2209163481467;0;0;0;0;2,30118381152916;0;0;0;0;0;3,88977734832548;0;0;0;0;0;0;0;0;0;4,99148268531611;0;0;0;0;0;0;0;0;0;4,23132283856688;0;0;0;0;0;0
0;0;0;0;0;0;0;3,45432724312615;0;0;0;1,42109838892757;0;0;0;0;0;0;0;2,63209665642683;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;4,03909144040155;3,61270220000888;0;0;0;0;0;0;0;0;0;0;0;4,42644138886893
0;0,928606270313545;0;0;0;0;3,38074800296721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,513047384337079;2,89776053973369;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2,25498580932617;0;0;0;0;0;0;0;4,59197555137425
0;0;0;0;0;0;0;0;0;3,62650953448681;0;0;0;0;0;3,19947208473434;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,31166237281247;0;0;0;0;0;0;0;0;0;0;0;0;0;1,864739357198;0;0;0;0;0;1,11925620684366;0;0;0;0;0;0;0;0;0;1,16195121880712;1,13184639538259;0;1,26548715739766;0;0;4,55982256520531;0;0;0;0;0;0;0;0;0;2,60214690938692;0;0;0
0;0;0;0;0;0;0;0;3,32133878270226;3,11353248921853;0;0;2,54548413425008;0;0;0;0,5;0;0;4,59562268368696;0;0;0;0;0;3,17273474213329;0;1,045386738165;0;0;1,92481898745746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,5;0;0;0;0;0;0;0;0;0;3,34739155804151;0;0;3,07143975751076;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;3,96998429157305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
