boy_toy;boy_toy;music_classic;boy_toy;sport_stuff;music_rap;sport_stuff;books;books;hightec;hightec;books;music_pop;movies;music_pop;hightec;makup_beauty;music_rap;makup_beauty;gardening;movies;makup_beauty;gardening;movies;boy_toy;hightec;sport_stuff;music_rap;music_pop;makup_beauty;sport_stuff;music_rock;music_rap;sport_stuff;books;hightec;hightec;books;sport_stuff;books;books;music_pop;music_pop;sport_stuff;hightec;sport_stuff;hightec;movies;hightec;hightec
0,5;0,5;0,75;0,5;4;2;4;2,41678397749401;3;4;4;3;2,5;2,25;2,5;4;0,5;2;0,5;0,75;2,25;0,5;0,75;2,25;0,5;4;4;2;2,5;0;4;4,5;2;4,20645604804459;3;4;4;1,43951034545898;4;3;2,27908565582665;2,5;2,5;3,62630593899;4;3,04464079441719;4;2,25;4;4
0,5;0,5;1,25;0,5;3,5;3;3,5;3;4,77506070201055;3;2,82569936235701;3;2,5;1,75;2,5;3;4,5;3;4,13255167007446;0,5;1,75;4,5;0,5;1,75;0,5;3;3,5;4,57931524309298;3,77502447868466;4,5;3,3734459170948;3,5;3;3,5;3;3;3;3;3,2287296714395;3;2,1242370778342;2,5;2,76310955908294;3,5;3;3,5;3;0,512412671936868;3;3
0,75;0,75;0,982278321861419;0,75;4;3;3,91270497483793;4;4;3,5;3,5;3,16354855902658;2;3;2;3,5;4,5;3;4,5;0,75;3;4,21412011385622;0,75;3;0,75;3,5;4;3;2;4,5;4;3;3;3,1261318913317;4;3,5;3,5;4;4;4,84638157852291;3,72882270812988;2;2;4;3,5;4,01422820939414;3,5;3;3,5;3,5
3,5;3,5;1,75;3,85660709294333;0;1,30669548702738;1,34867857412839;2,5;2,5;4;4;2,5;2,5;3,5;2,5;4;0,5;1,62649548548576;0,5;3,5;3,5;0,5;3,5;3,5;3,5;4;1,63652530342179;1,5;2,5;0,5;1,22865295420804;3,8237869412749;1,5;2;1,23844563366773;4;4;2,97371200517458;2;2,5;2,5;2,5;2,5;2;4;2;4,50709239929313;3,5;4;4
4,5;4,74331431870503;1,75;4,5;1,5;2;1,5;3;3;3,5;3,5;3;1,25;1,75;1,25;3,5;2,5;1,56430456627361;2,82041095794198;2,25;1,75;1,47504181297265;2,25;1,97186736761214;4,85468486829413;3,5;1,5;2,52591235261686;1,25;2,5;1,0527155483387;2;1,57053636413558;1,5;3;3,5;4,8285090270585;3;1,5;3,74154228053128;2,00745096337397;1,25;1,24544059356928;1,5;3,5;1,86417772893988;3,5;1,75;3,5;3,5
2,25;2,25;4,5;3,55577681123082;1,25;1,25;1,25;4,03566923273526;4,83575303984608;1,75;1,75;4,02905594093215;0,5;2;0,5;1,75;3,5;1,79391804630585;3,5;1,75;2;4,18897470840671;1,75;2;2,25;1,75;1,33889076176048;1,25;0,5;3,5;1,25;4,5;1,25;1,25;4,5;1,75;1,75;4,5;1,25;4,5;4,5;0,5;0,5;1,25;1,75;1,25;1,75;2;1,75;1,41928269291263
1,5;1,5;0,75;0,255143642425537;4;2,5;4;3;3;4,5;4,5;3;3;4;3;4,86763182369416;0,5;2,98218611626988;0,5;1,96611134729633;4;0,5;1,25;4;1,5;4,5;4;2,57801312933583;3;0,5;4;4;2,5;3,81840735153221;3;4,5;4,5;3;4,76514713455231;3;3;3,98477578163147;3;4;4,5;4;4,5;4;4,5;4,5
0,75;0,75;0,75;0,75;4,92581701278687;3;4;4;4;3,5;2,90917641246187;4;2;3;2;3,5;4,5;3;4,5;0,75;3;4,5;0,75;3;0,75;3,5;4;3;2;4,5;3,55746179100008;2,37974940258067;3,43692965220517;4;4;3,5;3,35468384220949;4,59082072488536;4;4,58020294996919;3,85289262181748;2;2;4;3,5;4;3,5;3;3,5;3,5
4,5;4,5;1,75;4,5;1,5;2;1,67950463047228;3;3;3,5;3,5;3;1,25;1,75;1,25;3,5;2,5;2;2,5;2,25;2,29634323776529;2,5;3,90914819059388;1,75;4,5;2,34153365220015;1,13913425111172;2;1,25;2,5;1,57395734990666;2;2;1,5;3;3,5;3,5;3;1,5;3;3;1,25;1,25;1,5;4,40617752047543;1,5;3,5;2,64213893266494;3,5;3,5
2,25;2,25;4,5;2,25;1,25;1,25;0,971764276489506;4,5;4,5;1,75;1,75;4,09776809257351;0,5;1,64642009448559;0,5;1,75;2,69069732012725;1,25;3,5;1,75;2;3,5;1,75;2;2,25;1,75;1,25;1,25;0,5;3,5;1,25;4,8003891719507;1,25;1,25;4,5;1,75;1,75;4,5;1,25;4,5;4,5;0,5;0,5;1,25;1,75;1,25;1,75;2;2,11811900749715;1,75
0,5;0,5;0,75;0,5;4;2;4;1,37945413589478;3;4;4,74024779151205;3;2,5;2,25;2,5;4;0,5;2;0;0,88085663336369;2,25;0,5;0,75;2,25;0,5;4;4;2;2,79341507879711;0,5;4;4,5;2;4;3;4;4;3;4;3;3;1,92530443189913;2,5;4;4;4;3,61791261593714;2,25;4;4
4,5;4,5;1,75;4,5;1,5;2;1,53030382959652;3;3;3,5;3,5;3;1,25;1,75;1,25;4,10557273640557;2,5;2,48960800817684;2,5;2,25;1,75;2,5;2,25;1,75;4,5;3,5;1,5;2;1,25;2,5;1,5;1,46430543366089;2;1,5;3,44613983735728;3,5;3,5;3;1,5;3;3;1,25;1,25;1,5;3,5;1,5;3,5;1,75;3,5;3,5
2,25;2,25;4,5;2,25;1,25;0,688262567477423;1,25;4,4543205124579;4,5;0;1,75;4,5;0,5;2;0,5;1,09555713813545;3,5;2,59787130355835;3,5;1,75;2;3,5;1,75;2;2,25;1,75;1,10592657076471;1,25;0,5;3,5;1,25;4,5;1,25;1,25;4,5;1,75;0;4,5;1,37072204978705;4,5;4,5;0,5;0,5;1,93540930698412;1,75;1,25;1,75;2;1,75;1,75
0,879593953667019;1,25;3,5;1,25;1,5;1,25;1,5;4,5;4,5;2,25;2,25;4,3696313725643;0,5;2,25;0,5;2,25;0,5;1,05031832123656;0,5;4,5;2,25;0,5;4,5;2,25;1,25;2,25;1,5;1,25;0,5;0,5;1,5;3,46473799760674;1,25;1,5;4,77159268677774;2,25;2,25;4,5;1,5;4,5;4,5;1,5;0,5;1,5;2,25;1,5;2,25;2,25;2,25;3,7625601330132
4,5;4,5;1,75;4,5;1,38843038835955;2;1,5;3;3;3,5;3,5;3;1,25;2,89881640993935;1,25;3,5;2,5;2;2,5;2,25;1,75;2,5;2,25;1,75;4,5;3,5;1,5;1,26146518637494;1,25;2,5;1,5;2;2;1,59540632208595;3;3,5;3,5;3;1,5;3;3;1,25;1,25;1,5;3,5;1,5;3,5;2,81707839519581;3,5;3,5
0,5;0,5;0,75;0,5;4;2;4;3;3;4;4;3;2,5;1,84306648878523;2,5;4;0,5;2;0,5;0,75;2,25;0,5;0,624074398597737;2,25;0,5;4;4;2,73299731394881;2,53093344789507;0,5;4;4,5;2,39179915254554;4;3;4;4;3;4;3;3;2,5;2,5;4;4,84083467248866;4;3,33447159935463;2,25;4;4
2,25;2,25;4,42391241408135;2,25;1,25;0,821963589555567;1,25;4,5;4,5;0,545880712590125;1,75;4,98397188958897;0,5;2;0,5;1,75;3,5;1,25;3,5;1,75;2;4,09124821754696;1,75;2;2,25;2,82596049775647;1,25;1,25;0,5;3,5;1,25;4,5;1,25;1,25;4,5;1,75;0;4,5;1,25;4,5;4,5;0,5;0,5;1,25;1,75;1,25;1,75;2;1,75;1,75
1,25;1,33072663859032;3,5;1,25;1,5;1,25;1,73129450703566;4,19131978470428;4,5;1,47997293829917;2,22946316456863;4,5;0,5;2,25;0,5;2,25;0,5;1,25;0,5;4,5;3,31533197537779;0,5;4,5;2,38954994892215;1,25;2,25;1,5;1,25;0,5;0,5;1,5;4;0,719969361191601;1,5;4,5;2,25;2,25;4,5;1,5;4,5;4,5;0,5;0;1,5;2,25;1,5;2,25;2,25;2,25;2,25
0,68507947874492;0,75;0,75;0,75;4;3;4;4;4;3,5;3,5;4;2;3;2;3,5;4,5;3;4,5;0,75;3;4,07012489720719;0,75;3;0,75;3,5;4;3;2;4,5;4;3;3;4;4;3,5;3,5;4;4;4;4;2;2;4;3,5;4;3,5;3;3,13324109051993;3,5
0,75;0,75;0,75;0,75;4;3;4;4;4;3,5;3,5;4;2,2209163481467;3;2;3,5;4,5;2,30118381152916;4,5;0,75;3;4,5;0,75;3,88977734832548;0,75;3,5;4;3;2;4,5;4;3;3;4,99148268531611;4;3,5;3,5;4;4;4;4;2;2;4,23132283856688;3,5;4;3,5;3;3,5;3,5
3,5;3,5;1,75;3,5;2;1,5;2;3,45432724312615;2,5;4;4;1,42109838892757;2,5;3,5;2,5;4;0,5;1,5;0,5;2,63209665642683;3,5;0,5;3,5;3,5;3,5;4;2;1,5;2,5;0,5;2;3;1,5;2;2,5;4;4,03909144040155;3,61270220000888;2;2,5;2,5;2,5;2,5;2;4;2;4;3,5;4;4,42644138886893
0,75;0,928606270313545;0,75;0,75;4;3;3,38074800296721;4;4;3,5;3,5;4;2;3;2;3,5;4,5;3;4,5;0,75;3;4,5;0,75;3;0,513047384337079;2,89776053973369;4;3;2;4,5;4;3;3;5;4;3,5;3,5;4;4;4;4;2,25498580932617;2;4;3,5;4;3,5;3;3,5;4,59197555137425
3,5;3,5;1,75;3,5;2;1,5;2;2,5;2,5;3,62650953448681;4;2,5;2,5;3,5;2,5;3,19947208473434;0,5;1,5;0,5;3,5;3,5;0,5;3,5;3,5;3,5;4;2;1,5;2,5;0,5;2;3;1,5;2;2,5;4;4;2,5;2;2,5;2,5;2,5;2,5;2;4;2;4;3,5;4;4
4,31166237281247;4,5;1,75;4,5;1,5;2;1,5;3;3;3,5;3,5;3;1,25;1,75;1,864739357198;3,5;2,5;2;2,5;2,25;1,11925620684366;2,5;2,25;1,75;4,5;3,5;1,5;2;1,25;2,5;1,16195121880712;1,13184639538259;2;1,26548715739766;3;3,5;4,55982256520531;3;1,5;3;3;1,25;1,25;1,5;3,5;1,5;2,60214690938692;1,75;3,5;3,5
3,5;3,5;1,75;3,5;2;1,5;2;2,5;3,32133878270226;3,11353248921853;4;2,5;2,54548413425008;3,5;2,5;4;0,5;1,5;0,5;4,59562268368696;3,5;0,5;3,5;3,5;3,5;3,17273474213329;2;1,045386738165;2,5;0,5;1,92481898745746;3;1,5;2;2,5;4;4;2,5;2;2,5;2,5;2,5;2,5;2;4;2;4;3,5;4;4
0,5;0,5;1,25;0,5;3,5;3;3,5;3;3;3;3;3,34739155804151;2,5;1,75;3,07143975751076;3;4,5;3;4,5;0,5;1,75;4,5;0,5;1,75;0,5;3;3,5;3;2,5;4,5;3,5;3,96998429157305;3;3,5;3;3;3;3;3,5;3;3;2,5;2,5;3,5;3;3,5;3;1,75;3;3
1,25;1,25;0,5;1,25;3;1,25;3;2;2;1,25;1,25;2;0,5;1,5;0,5;1,76801795501635;3,5;1,25;3,5;0,5;1,5;3,5;0,5;1,5;1,39758815471902;1,25;3;1,25;0,5;4,37158916255999;3;0,843783507516507;1,25;3;2;1,25;1,25;2;3;2;2,46764932175523;0,5;0,5;3;1,25;3;1,25;1,5;1,31618804941708;1,25
0,5;0,5;0,75;0,5;4,02565373434948;2;4;3,28679671105314;3;4;4;3;2,5;2,25;2,5;4;0,5;2;0,5;0;2,25;0,5;0,75;4,55831623077393;0,5;4;4;2;2,5;0,5;4;4,5;2;4;2,13652062416077;4;4;3;4;3;3;2,5;2,5;4;4;4;3,73877043683956;2,25;4;4
0,5;0,5;0,75;0,5;4;2;4;3;3;4;4;3,83471539329491;2,5;2,25;2,5;4;0,5;2;0,5;0,75;2,44210314750671;0,5;0,75;2,25;0,5;4;4;2,65287721513439;2,5;0,5;4;4,63125130656699;2;4;3;4;4;3,8838375620003;4;2,57165188462085;3,4710476852353;2,5;3,59302036258998;1,05201232433319;4;4;4;2,25;4;4
0,5;0,5;0,535929350897637;0,5;4;2;4;3;3;4;4;3;2,5;2,25;1,27274429484864;4;0,5;2,04262232829007;0,5;0,75;2,25;0,5;0,75;2,82668723227768;0,5;4;4;2;2,5;1,5;4;4,5;2;4;2,4443187713623;4;4;3;4;2,02662027349073;3;2,5;1,38573870872415;4;4;3,25785056606766;4,4586085143772;2,25;3,19335809638414;4
3,5;3,84918430114593;1,75;3,07084099718874;2;1,5;2;2,5;2,5;4,29886727654322;4,91110522202733;2,5;2,5;3,5;2,5;4;0,5;1,5;0,5;3,5;4,29786257645947;0,5;3,5;3,5;3,5;4;2;1,5;2,5;0,5;2;3;1,5;2;2,5;4;4;2,5;2;2,5;1,42337931153522;2,5;2,5;2;4;2;4;3,5;4;4
2,25;2,25;4,5;2,25;1,41714639957861;1,25;1,25;4,5;4,5;1,75;1,13666821137847;4,31494722995672;0,5;2;0,5;1,75;3,5;1,25;3,5;1,75;2;3,5;1,75;2;2,25;1,75;1,25;1,25;0,5;3,5;1,25;4,5;1,25;1,25;4,5;1,75;1,75;4,15811393091367;1,25;4,08650564685767;4,5;0,5;0,5;1,25;1,75;0,900930061657415;1,75;2;1,75;2,10906863212585
4,5;4,72674311871023;1,75;4,5;1,5;2;1,5;3,98085189330431;3;3,5;3,5;3;1,25;1,75;1,25;3,5;2,5;2,95065598280665;2,5;2,25;1,75;2,5;2,25;1,75;4,86701523506409;3,5;1,5;1,36049508133926;1,00403249426933;2,5;1,5;2;1,16197988864127;1,5;3;3,5;3,5;3,76092944096817;1,5;3;2,18264269828796;1,25;1,25;0;2,71526929676312;2,13517928123474;3,5;1,75;3,5;3,5
0,5;0,5;0,882446327890477;0,5;4;2;3,8058493876857;3;2,17785235036996;4;4;3;2,5;2,25;2,5;4;0,5;2;0,5;0,75;2,09150272891461;0,5;0,75;2,25;0,5;4;4;2;2,5;0,5;3,48713982314204;4,5;2;4;3;4;3,09250622526394;3;4;3;2,40299969557812;2,70786841526063;2,5;4;4;4;4;2,25;4;4
4,5;4,5;1,75;4,5;1,5;2;1,64879281942211;3;3;3,70244146264272;4,88367510115899;3,14960889292397;1,25;1,75;1,25;3,5;2,5;2;2,5;2,25;1,75;2,5;2,25;1,75;4,5;3,5;1,5;2;1,25;2,5;1,5;2;2;1,5;3;3,5;3,5;3;1,5;3,65841070453562;3;1,55086926349945;1,25;1,5;3,5;1,5;3,5;1,75;3,08056293990489;3,5
4,5;4,5;1,75;4,5;1,5;2;1,5;3;3;3,5;3,24148926708917;3;1,82118809610661;1,75;1,25;3,5;2,5;2;4,04000377655029;2,25;1,75;2,5;2,25;1,75;4,5;3,5;1,73777312400647;2;1,25;2,5;1,39157597366328;2;2;1,81426817822003;2,44581471218067;3,5;3,5;3;1,5;3,37882836692912;3;1,25;1,25;1,5;3,5;1,5;3,5;1,75;4,67003406568898;2,23304675204356
0,5;0,5;1,25;0,5;3,5;3;3,5;3;3;3;3;3;2,16375136375427;1,75;2,5;2,6822452545166;4,5;3;4,5;0,5;1,75;4,92425682299037;0,5;1,75;0,5;3;3,5;3;2,5;4,5;3,5;3,5;3;3,5;3;3;3;3;3,5;3;3;1,08136029126186;2,5;3,5;3,55499684789916;3,5;2,99323749309091;0,949704798147876;3;3
1,25;1,25;3,5;1,25;1,49560130596887;1,25;1,5;4,5;4,5;2,25;3,30974414982355;4,00846530124939;0,5;2,25;0,5;2,25;0,5;1,25;0,5;4,5;2,25;0,5;4,5;2,25;1,25;2,25;1,5;1,25;0,5;0,5;1,5;4;1,25;1,5;4,5;2,63168604002878;2,25;4,5;1,5;4,5;4,5;0,5;0,5;1,5;2,25;1,5;2,25;2,25;2,25;2,25
3,5;3,5;1,75;3,5;2;1,5;2;2,5;2,5;4;4;3,65015013080563;1,80598373329546;3,5;2,5;4;0,5;1,5;0,5;3,5;3,5;0,5;3,5;3,5;3,5;5;1,18600107179303;1,5;2,5;0,5;2;3;1,5;2,17828406727793;3,28959312070608;3,6665692509462;4;2,5;2;2,5;2,5;1,51977472124611;0,939985334873199;2;4;0;4;3,5;4,2141720937631;4
0,5;0,5;1,25;0,5;3,24102084349888;3;3,5;3;3;3;3;2,76970471524154;2,5;1,75;2,5;3;4,5;3;4,5;0,5;2,48390577197257;4,5;0,5;1,75;0,5;3;3,5;3;2,5;4,5;3,5;3,5;3;3,5;3;3;3;3;3,5;3;3;2,5;2,5;3,5;3;3,5;3;1,75;2,21807647320352;3
0,5;0,5;1,25;0,5;3,5;3;3,5;3;3;3;3;3;2,5;1,75;2,5;3;4,27155347181091;3;4,02817395563618;0,5;2,29731253036173;4,5;0,5;1,89732733783188;0,5;3;3,5;3;2,5;4,5;3,5;3,5;3;3,5;3;3;3;1,42464905065701;3,83748476479085;4,80795912435649;3;2,5;2,5;3,5;3;3,5;3;1,75;3;3
2,25;2,25;5;2,25;1,25;1,25;1,90513264197164;4,5;4,5;1,75;1,75;4,5;0,5;2;0,5;1,75;3,5;1,25;3,5;1,75;2;3,5;1,75;2;2,25;1,75;1,25;1,25;0,5;3,5;1,25;4,90239778482467;1,25;1,25;4,5;1,75;1,75;4,39861258603568;1,25;4,5;4,5;0,5;0,5;1,25;1,75;1,25;1,75;2;1,75;1,75
1,5;1,5;0,75;1,5;4;2,5;4,00826352229727;3;3,47728710969784;4,5;4,25569919927777;2,89937890642294;3;4;2,24813912634185;4,04512405395508;0,5;2,5;0,5;1,06539839602327;4;1,5;1,25;4;1,5;4,5;4;2,5;3;0,5;4;4;2,5;4;3;4,5;4,5;3;4;3;3;3;3;4,68906581853007;4,5;4;4,5;4;4,5;4,35845277102592
0,5;0,5;1,25;0,5;3,5;3;3,5;3;3;3;3;3;2,5;1,75;2,5;3;4,5;3;4,5;0,5;1,75;4,5;0,5;1,75;0,5;3;3,5;3;2,5;4,58089146091644;3,5;3,5;3;3,5;2,73898839950562;3;3;3;3,5;3;3;2,5;2,5;3,35988705389196;3;3,49709877627767;3;1,75;3;3
4;4;0,5;4;3;1,25;3,852395936778;2;2;1,25;0,74534019396889;2;1,25;1,5;1,25;1,25;0,5;1,03142843606483;0,5;0,5;1,5;0,5;0,5;1,5;4,81240821248498;1,25;3;1,25;1,25;0,5;3;1,25;1,25;3;2;1,25;1,25;2;3;2;2;0,578649179348093;1,25;2,40353999305681;1,25;3;1,25;1,5;1,25;1,25
1,25;1,25;3,5;1,25;1,5;1,25;1,5;4,5;4,5;2,25;2,25;4,5;0,5;2,25;0,5;2,25;0,5;2,53908228874207;0,5;4,5;2,25;0,5;4,44766511183589;2,25;1,25;2,25;1,5;1,25;0,5;0,5;1,5;4;1,25;1,5;4,2401104910486;2,25;2,25;4,33772432912966;1,5;4,5;4,91597935087792;0,5;0,5;1,5;2,25;1,5;3,23006691258869;2,25;2,25;2,25
4,75616883149192;4,5;1,75;4,8248585084569;1,5;2;1,5;2,04656173197858;3;3,5;3,5;3;1,25;1,75;1,25;3,5;3,70070132599245;1,20831211945429;2,5;1,37474715709686;1,75;2,5;2,25;1,00320080737732;4,5;3,5;1,5;2;1,25;2,5;1,5;2;2;1,5;3;3,5;3,5;3;1,71186092575633;3;3;1,25;1,25;1,70082663404794;3,5;1,70779017066014;3,56687813185476;1,75;3,5;3,5
1,25;1,25;0,5;1,25;3;1,25;3,46146041502313;1,74166828149076;2;1,25;1,25;2;0,5;1,5;0,5;1,25;3,5;1,25;3,5;0,5;1,5;3,5;0,5;1,5;0,655538195350924;1,25;3;1,25;0,5;2,19399660927895;3;0,75;1,25;3;2;1,25;1,74261015245812;2;3;2;2,49727770103946;0,5;0,5;3;1,25;3;0,763374358072586;1,5;1,3874144744535;1,25
2,25;2,25;4,5;2,25;1,25;1,25;1,25;4,5;4,5;1,75;1,75;4,5;0,5;2;0,5;1,75;3,5;1,25;4,67723337871825;1,75;2;3,5;1,75;2;2,25;2,80728855696846;1,25;1,25;0,5;3,5;0,636936023895133;4,5;0,839809007868082;1,25;4,2271454488985;1,75;1,75;4,5;1,25;4,5;4,5;0,5;0,5;1,25;1,75;1,77274876752531;1,75;2,98858747910177;1,75;1,75
