hightec;hightec;sport_stuff;movies;movies;sport_stuff;music_rap;hightec;sport_stuff;girl_toy
3,42094460894398;0;3,65273435071704;3,53070658563203;1,81643134137449;4,93983560518354;2,61429138556788;4,34613937574725;3,69603768302875;0
3,79797684857528;4,13695126405775;1,80063546998456;0;1,55205296937006;1,44598255979176;0;0;0;0
4,51967403363421;0;0;1,24183883878488;1,94478922288157;0;1,53318110226336;4,32761230474692;3,33856466521442;0
0;0;4,11260885331436;3,58356714368964;0;0;0;4,35945088153679;0;0
0;0,952677589819151;0;0;1,17939200866008;0;0;1,1941928608316;2,82661405803012;0
0;0,961079332260918;0;1,15388939303993;0;0;0;0;3,81243390208689;0
4,46617227767882;0;0;0;0;4,15170465556518;2,33484956730849;4,23695757344223;0;0,808288148515061
2,54820305646779;3,82522085859683;0;3,1131565790219;2,62528142082751;1,38850498199463;3,9009951101155;0;0;0
0;3,31962084770203;0;3,49501931876644;3,84974618854455;2,36108750354549;0;0;1,16006817769262;3,05761946926714
0;0;0;3,94679265559967;4,25087274855509;3,16721105575562;0;0;0;3,16024876160559
0;0;0;0;2,90972161521657;0;3,44748463828465;4,23690584499245;0;1,08351755006403
4,73258229332631;0;0;1,3462486138317;0;4,38927868725233;0;3,41594971922038;0;0
3,42840175816249;4,7973228747944;0;0;0;0;0;0;0;0
0;4,61101971455432;0;0;0;0;0;0;0;1,66795172573438
3,41984757660881;3,82242265242265;0;0,86316001571862;0;0;1,66382698931909;0;0;0
4,92804670609909;3,66874111754295;4,36494409822158;0;2,98161780507379;3,31319166268836;0;0;0;0
4,17522769569197;0;0;0;0;3,24618885677596;0;4,00878422381765;0;0
0;2,28431091750241;0;0;2,20739601678559;3,17334320311125;4,30350528811268;0;3,22867255575427;0
0;3,1572484742651;3,12509221868827;0;2,27238120663556;0;3,97779491309905;0;0;0
0;0;3,85329212614023;0;0;3,50857902295356;0;2,39395140036659;0;0
0;4,01691448456464;1,58133485288421;0;0;2,89907886828253;0;0;1,66008906749081;3,78499539605574
0;3,76776575426001;0;3,96105657492814;0;0;0;4,13151542708814;3,18208186802551;0,5
0;0;3,68697471203607;0;0;4,81968475869842;0;2,68280409727376;3,70093536782122;0
0;0;0;1,77078573162238;0;0;0;0;0;0,5
0;3,81033749031384;0;0;1,95731525214264;0;0;0;0;0
4,20266248062377;3,02382848412908;3,26922335767617;0;3,82859437881438;0;2,7951044299617;4,23847832215879;4,54379687250769;0
0,757295313643895;0;0;0;0;1,5324775350897;0;0;0;1,81324288007489
3,13864961598937;0;0;0,998789908829513;1,55334141457143;0;0;0;3,03670524434964;0
2,45162649659981;2,37264746212058;0;0;0;1,02731521615168;0,50474832719413;0;1,22886704803857;1,37724802520929
4,69534934204786;0;2,56034725697727;0;0;0;1,42647292112302;3,22553913585168;1,2984160689164;0
0;3,25579384074351;4,7606871378425;0;1,02254118515297;4,65256071090698;0;0;4,25694737176269;0,5
0;0;0;0;1,07009997687773;0;1,50620828778772;0;0;0
