;music_pop;gardening;music_pop;gardening;sport_stuff;music_pop;makup_beauty;both_toy;hightec;music_pop
father;0;0;0;2,11204094584661;1,12092586426107;0;0;1,58392522324991;0;0
young_women;1,09105128892281;0;2,56306088043519;0,654623208639502;0;1,24203159578239;0;0,5;0;0
boys;0;0,5;1,56040009998735;0;0;0;0;0;0;0
old_women;0,5;2,24706782761359;0,5;0;0;0,5;0;0;0;0
young_men;0;0;3,26461828000127;0;0;0;0;0;0;3,11257893271399
single_women;1,46531436288045;0;0;0;3,96128516875267;0;4,71495598355073;0;2,22177488646553;0,267968982458115
mother;0;0;1,11253527743394;0;0;0;3,26806173812042;3,81798178228456;3,95487792322174;1,25566100224651
young_women;0;0;0;0,536590809485219;0;2,37342414975791;0;0,5;4,44869295156034;1,5754966915471
mother;1,84403945731187;2,4986938429059;0;0,79441492575892;0;0,621664025877446;0;0;2,70542126321486;1,31933525498925
old_women;0;0;0;0;1,7530924858307;0;0;3,82995935009325;0;0
single_men;0;0;3,74935137701656;0,87260377407074;4,4999068647157;0;0,5;2,92877995242774;0;1,82118291911724
single_men;1,43044234739171;0;0;0;0;3,49911950644996;0,5;2,3610942363739;0;1,72350311279297
single_men;0;0;1,73918129351883;0;0;1,68519578673187;0;1,64778185549555;0;2,20258420948059
single_women;1,7813206076535;0;1,22575044502772;0;0;2,52086107689927;4,6164470438922;0,632968424881328;3,75235034700127;3,93541786909821
boys;1,44940822196631;0,5;0;0;3,20796643160655;0;0,5;0;1,49982662545509;1,47139541035117
mother;0;0;0;0;0;0,949857552279652;0;0;0;0
father;2,90104173445191;2,4231234441619;1,0373914842668;0;0;0;0,5;0;4,56634137386751;0
mother;1,05544877052307;1,70149834789405;0,809037708588428;2,53594972707143;1,16708022969173;0;0;0;0;0
young_women;1,48038517985511;0,682119145142901;1,92109224801934;0,826727662853304;3,52676276235225;0;0;0,5;2,97472716307953;2,96664546056029
single_men;0;0;0;0,523709646437182;3,99378701997632;0;0;1,13891298050942;4,98311376571655;0
single_women;2,16793016119298;0;1,00431895256042;0;3,03254564247678;3,20848777760215;0;0;3,21207206566449;0
single_men;0;0;0;0,941048299400624;4,66670452974118;0;0;0;3,1788892551227;1,05166482741556
single_women;0;0,5;0;0;0;0;0;0;0;0
young_women;1,27442195465528;0,518981503797221;0;0;0;0,82045716047287;0;0,5;0;2,78677943432088
boys;1,3554875838363;0;1,0440409986973;0;2,6541129344395;0;0,5;3,75418309390274;0;1,56176279208705
father;0;4,47899080462707;1,96896252314046;0;0;2,78934226035576;0;1,01814123057674;0;0
young_men;2,16634421989617;0;0;0;0;0;0,5;0,5;0;0
young_women;2,56964346839564;0;0;0;0;0;0;0;2,211944651423;0
young_women;0;0;0;0;0;1,9855631184697;0;0;2,76405094366709;0
mother;0,902159463335834;2,60701689059242;0,65482979112064;3,7867009845966;1,94580775729651;0;2,29238234473969;0;2,91382940808024;0
old_men;0;0;0;0;0;0,5;0;1,27919485083744;0;0,5
father;0;0;0;3,52955984674839;0;1,53287266452465;0;1,96741175230938;0;0
mother;0;1,38701496198169;0;0;0;1,83294325570247;2,78812600988342;0;0;0,962485497101436
mother;1,47086091454647;0;0;0;0;0;0;0;1,52304434776306;1,46430487277187
mother;0;0;0;1,14775811259065;0;0;0;0;0;1,83316464551406
old_women;0;0;0,5;2,65389534931346;0;0;0;0;0;1,5
old_men;0,5;4,87634038779714;0;0;0;0;0,5;0;0;0
single_men;1,19922611778566;0;0;0;3,61038918449096;2,02956751502565;0;1,69735933081124;0;0
mother;1,0284092682546;0;0;0;1,82985055019606;0;3,59549548970326;2,61116882535218;4,0436267880926;0
father;0;2,59794196560883;1,89462382341485;0;0;0;0;0;0;1,97107352780694
single_women;3,53698679503844;0,5;3,97805308735839;0;3,63402521127557;1,05197872130758;4,74283047567253;0;0;0
young_women;0;0,829873085021973;2,30325731602649;0,507553531558976;3,64498502511763;1,6827061710333;0;0,5;0;0
old_men;0;0;0;0;1,59752826141078;0;0;1,0374779105361;0;0
mother;0;1,16344885186453;1,26209739514724;2,87579912383845;0;0;0;2,0753825456255;0;0
boys;0;0;0;0;0;0;0;2,38131521846229;0;0,78983850464683
girls;0;0;0,5;0;0;0;0;0;0;0
single_women;0;0;0;0;0;0;0;0;3,12050765618706;0
old_men;0,5;0;0;0;0;0,5;0;0;0;0,5
girls;0,5;0;0,5;0;0;0;0;0;1,75775470224105;0
mother;1,34604641205913;2,48456835746765;0;1,38036638632434;0;0;1,73384662984584;0;0;0
mother;0;0;1,80767650171541;0;0;0;0;0;0;0
young_women;1,35706496814129;0;0;0;3,78768371734195;2,97240639197287;0;0;0;1,09195078820547
father;0;2,44119813825991;3,7366093684624;0;0;2,50495885336071;0,5;0;0;0
young_women;0;0;2,83245631765223;0;2,72233724594116;0;0;0;0;2,73755119356213
old_men;0,5;0;0;0;1,41762301345245;0;0,5;1,57365263070616;1,5237727037276;0
single_women;0;0;0;0,5;0;0;0;1,18173927915364;3,78941238568603;0,995183765888214
mother;0,710837467671762;0;0,986356470029036;0;0;0;3,87882011983489;2,93609714458515;0;0
single_women;0;0;0;0;0;0;0;2,62275505065918;0;1,71698771683359
young_women;0;0;0;0;0;0;0;0;0;0
young_women;1,12522791704406;0,519846179531816;0;0;4,32395348945817;0;0;0,5;0;1,16446808453857
young_men;2,21068278616792;0,855134210714667;0;1,940512541421;0;0;0;0;4,02940922837211;0
mother;1,16083501240277;0;0,729883968830109;2,08093442655212;0;1,48675024392398;0;2,64536341682326;4,81836283524444;1,97301967627044
girls;0;0,5;0,5;0,5;0;0,5;0;0;0;0
mother;0;0;0;0;1,97340599353118;1,09455099194057;0;2,75022003182686;2,17417695940201;1,11173610487568
young_men;0;0;2,74567058624032;0;0;3,08323096813784;0;0;4,82372295848267;0
father;2,71201450690255;3,16577495036916;0;0;2,32967065057236;0;0;0;0;1,48996569797861
young_women;1,16739484209912;0,821104305247359;1,96746354129513;0;3,61231378773801;0;4,27934232879399;0;0;2,73495438310083
mother;0;0;0;0;0;1,91632539332673;0;2,77678344621173;0;1,63973434485483
single_men;0;0;0;0;4,17589975855122;0;0;0,667797642139624;0;3,72480672398806
boys;0;0;0;0;0;0;0;3,4927766171716;0;0
single_women;0;0;0;0,5;0;0;0;0,769951652861178;3,22660065126913;0
father;0;3,34008906005886;1,07042168270351;0;1,39196747000886;0;0;0;0;0
mother;0;1,64694521303612;0;0;0;1,86032746283353;0;0;0;0
single_men;1,90927114333458;0;2,32738293024124;0;4,17459777238527;0;0;2,71909643254201;3,65674299032276;0
young_men;3,93883570373935;0,908920161849316;2,53908806971232;0,905791107986956;0;3,85142580505993;0,5;0,5;4,96197416305634;3,97572559024008
mother;0;0;0;0;1,04945564877682;0;2,07405962938166;2,24759722698834;2,70632969248403;0
girls;0,5;0,5;0,5;0;0;0;4,44298581147705;0;0;0
mother;0;2,5721413065084;0,920907030776565;0,966064383492835;0;1,78437528795766;1,17196219515612;0;0;0,55308012014864
single_women;0;0;3,9367444198284;0;0;0;0;0;0;1,8737411889591
old_men;0;0;0;0;1,4567057823095;0;0;1,60642391634473;0;0
single_women;0;0;0;0,5;0;0;0;1,89744285838559;3,09339733845247;3,06848063975036
young_men;2,25273357157257;0,714325826482068;0;1,41383872945506;0;0;0,5;0,5;0;0
single_men;0;0;0;0;3,50854728115189;3,34043806946857;0;0;0;0
single_women;3,10880318894461;0;0;1,5;0;0;4,39522153669746;0;2,40460332222497;0
father;0;0;0;0;0;1,11659043893059;0;0;0;3,97175441541325
young_men;0;0,707376306041785;3,9345307852768;0;0;2,73237967432122;0;0;4,84582073653388;3,7262907492585
father;1,19185946983837;0;2,75026768154943;2,93856883139283;2,84529173366972;1,11464005946863;0,5;1,12572268123074;5;0
old_women;0;0,543663794660784;0,5;2,97537594520272;1,07576424818289;0,5;0;3,10553135681224;2,45442486528979;0
mother;1,02850515303598;0;0;0;0;0;1,70567236268226;0;2,87297895265416;0
mother;0;0;0,664264900686343;0;0;0;0;0;0;1,61303815437157
young_women;2,51529364358415;0;0;0;3,89997589536941;0;4,43602114796453;0;3,10027170181274;0
single_men;0;0;0;0,980360348466952;0;1,6887933750119;0;0;3,63642334222627;0
old_women;0;0,848706387611435;0;0,889134510368637;0,950593993976057;0;0;2,57757539980932;0;1,5
single_men;0;1,85546267032623;3,77777265327879;0;0;0;0;0;4,57423009424202;0
girls;0;0;0;0,5;3,46796311133912;0;0;2,01392846834563;0;0,5
mother;0;0;0;3,93388517453982;0;1,70310014006826;2,69359506512694;0;0;1,04735613290563
mother;1,40079461406022;0;0;1,09909474109257;0;0;0;3,08657859316402;0;0
single_women;2,88073393929784;0,5;0;0;0;0;0;0;2,01671135519478;0
young_men;3,28355485819446;0;0;1,7149101857631;3,47228022127984;2,20087384162511;0;0;0;0
single_men;0;0;0;0;0;1,25182737561494;0,5;0;0;0
father;0;0;0;4,06396584914251;0;2,18096778829627;0;0;4,64894239681258;0
boys;0,726262687577988;0;0;0;2,31092707454736;0;0,5;2,79580503552957;1,3345880039663;0
single_men;0;0;2,72143245102904;0;4,43755684394276;2,94181640490043;0,5;0;4,48930006264211;0
old_women;0,5;0;0;0;1,5275486763695;0;0;0;0;0
boys;0;0,5;0;0;3,70054486659381;0;0;2,58215894390929;1,71761295698472;0,726717044704928
single_women;0;0;3,55928358228844;0;3,38242200500445;0;0;0;0;3,66820699380162
single_women;1,55159484108519;0;0;0;0;0;4,52023485885944;0;2,18189708617604;1,38273533870593
single_women;0;0;0;0;0;0;0;0;0;1,74481216666513
single_women;0;0;3,77771865007361;0,5;0;0;4,27002290602309;0;3,83046060699525;0
mother;1,3242541546115;3,41294074473574;1,33260610226197;0;0;0;0;0;0;0
old_women;0;0;0,5;0;1,74489159404528;0,5;2,99912125617225;3,71174822431605;0;0
father;3,64615067497182;0;3,27580356284781;4,04732940022244;1,58659412366645;0;0;0;4,88794127473977;3,42500333647477
young_men;2,84807796163861;0;3,41514705839341;0;4,96038088014367;2,92963769609557;0;0;0;2,27445418214167
single_women;0;0,5;0;0,5;0;0;0;0;2,96686853420309;3,03455090664073
single_women;0;0,5;3,21026361650334;0;0;3,72297527814422;4,43118062216378;0;0;1,51403688383942
girls;0;0;0;0,5;2,36698997876001;0;2,67457726908595;0;0;0,5
young_women;0;0;0;0;0;0;4,08236409448197;0;0;0
old_men;0,5;0;0,5;0;0;0;0;0;0;0,5
single_women;0;0;3,99708472797511;0,5;0;3,16102806439671;0;0;2,46047820917353;0
young_women;0;0;0;0,925451461656695;0;2,08819650816181;0;0;0;0
old_men;0;0;0;0;1,15509120102743;0,5;0;0;1,06429802699215;0
single_women;2,03814376659605;0,5;3,16938853263855;0;3,29728036480829;0;4,76246596023555;0;3,49758033989816;0
boys;0;0,5;0;0;3,39439600025974;0;0;0;0;1,9215261302523
father;0;2,53047320364531;0;0;0;0;0;0;0;0
mother;0;0;0;1,87771172629563;0;0;0;2,58742455327298;0;0
