music_pop;gardening;music_pop;gardening;sport_stuff;music_pop;makup_beauty;both_toy;hightec;music_pop
2,5;3,5;2,5;2,11204094584661;1,12092586426107;2,5;0,5;1,58392522324991;4;2,5
1,09105128892281;0,75;2,56306088043519;0,654623208639502;4;1,24203159578239;4,5;0,5;3,5;2
1,25;0,5;1,56040009998735;0,5;3;1,25;0,5;3;1,25;1,25
0,5;2,24706782761359;0,5;1,75;1,25;0,5;3,5;2,25;1,75;0,5
3;1,25;3,26461828000127;1,25;4;3;0,5;0,5;4,5;3,11257893271399
1,46531436288045;0,5;2,5;0,5;3,96128516875267;2,5;4,71495598355073;1,25;2,22177488646553;0,267968982458115
1,25;2,25;1,11253527743394;2,25;1,5;1,25;3,26806173812042;3,81798178228456;3,95487792322174;1,25566100224651
2;0,75;2;0,536590809485219;4;2,37342414975791;4,5;0,5;4,44869295156034;1,5754966915471
1,84403945731187;2,4986938429059;1,25;0,79441492575892;1,5;0,621664025877446;2,5;3;2,70542126321486;1,31933525498925
0,5;1,75;0,5;1,75;1,7530924858307;0,5;3,5;3,82995935009325;1,75;0,5
2,5;0,75;3,74935137701656;0,87260377407074;4,4999068647157;2,5;0,5;2,92877995242774;4;1,82118291911724
1,43044234739171;0,75;2,5;0,75;4;3,49911950644996;0,5;2,3610942363739;4;1,72350311279297
2,5;0,75;1,73918129351883;0,75;4;1,68519578673187;0,5;1,64778185549555;4;2,20258420948059
1,7813206076535;0,5;1,22575044502772;0,5;3,5;2,52086107689927;4,6164470438922;0,632968424881328;3,75235034700127;3,93541786909821
1,44940822196631;0,5;1,25;0,5;3,20796643160655;1,25;0,5;3;1,49982662545509;1,47139541035117
1,25;2,25;1,25;2,25;1,5;0,949857552279652;2,5;3;3,5;1,25
2,90104173445191;2,4231234441619;1,0373914842668;3,5;2;2,5;0,5;2;4,56634137386751;2,5
1,05544877052307;1,70149834789405;0,809037708588428;2,53594972707143;1,16708022969173;1,25;2,5;3;3,5;1,25
1,48038517985511;0,682119145142901;1,92109224801934;0,826727662853304;3,52676276235225;2;4,5;0,5;2,97472716307953;2,96664546056029
2,5;0,75;2,5;0,523709646437182;3,99378701997632;2,5;0,5;1,13891298050942;4,98311376571655;2,5
2,16793016119298;0,5;1,00431895256042;0,5;3,03254564247678;3,20848777760215;4,5;1,25;3,21207206566449;2,5
2,5;0,75;2,5;0,941048299400624;4,66670452974118;2,5;0,5;1,75;3,1788892551227;1,05166482741556
2,5;0,5;2,5;0,5;3,5;2,5;4,5;1,25;3;2,5
1,27442195465528;0,518981503797221;2;0,75;4;0,82045716047287;4,5;0,5;3,5;2,78677943432088
1,3554875838363;0,5;1,0440409986973;0,5;2,6541129344395;1,25;0,5;3,75418309390274;1,25;1,56176279208705
2,5;4,47899080462707;1,96896252314046;3,5;2;2,78934226035576;0,5;1,01814123057674;4;2,5
2,16634421989617;1,25;3;1,25;4;3;0,5;0,5;4,5;3
2,56964346839564;0,75;2;0,75;4;2;4,5;0,5;2,211944651423;2
2;0,75;2;0,75;4;1,9855631184697;4,5;0,5;2,76405094366709;2
0,902159463335834;2,60701689059242;0,65482979112064;3,7867009845966;1,94580775729651;1,25;2,29238234473969;3;2,91382940808024;1,25
0,5;4,5;0,5;4,5;1,5;0,5;0,5;1,27919485083744;2,25;0,5
2,5;3,5;2,5;3,52955984674839;2;1,53287266452465;0,5;1,96741175230938;4;2,5
1,25;1,38701496198169;1,25;2,25;1,5;1,83294325570247;2,78812600988342;3;3,5;0,962485497101436
1,47086091454647;2,25;1,25;2,25;1,5;1,25;2,5;3;1,52304434776306;1,46430487277187
1,25;2,25;1,25;1,14775811259065;1,5;1,25;2,5;3;3,5;1,83316464551406
0,5;1,75;0,5;2,65389534931346;1,25;0,5;3,5;2,25;1,75;1,5
0,5;4,87634038779714;0,5;4,5;1,5;0,5;0,5;1,25;2,25;0,5
1,19922611778566;0,75;2,5;0,75;3,61038918449096;2,02956751502565;0,5;1,69735933081124;4;2,5
1,0284092682546;2,25;1,25;2,25;1,82985055019606;1,25;3,59549548970326;2,61116882535218;4,0436267880926;1,25
2,5;2,59794196560883;1,89462382341485;3,5;2;2,5;0,5;2;4;1,97107352780694
3,53698679503844;0,5;3,97805308735839;0,5;3,63402521127557;1,05197872130758;4,74283047567253;1,25;3;2,5
2;0,829873085021973;2,30325731602649;0,507553531558976;3,64498502511763;1,6827061710333;4,5;0,5;3,5;2
0,5;4,5;0,5;4,5;1,59752826141078;0,5;0,5;1,0374779105361;2,25;0,5
1,25;1,16344885186453;1,26209739514724;2,87579912383845;1,5;1,25;2,5;2,0753825456255;3,5;1,25
1,25;0,5;1,25;0,5;3;1,25;0,5;2,38131521846229;1,25;0,78983850464683
0,5;0,5;0,5;0,5;3;0,5;3,5;3;1,25;0,5
2,5;0,5;2,5;0,5;3,5;2,5;4,5;1,25;3,12050765618706;2,5
0,5;4,5;0,5;4,5;1,5;0,5;0,5;1,25;2,25;0,5
0,5;0,5;0,5;0,5;3;0,5;3,5;3;1,75775470224105;0,5
1,34604641205913;2,48456835746765;1,25;1,38036638632434;1,5;1,25;1,73384662984584;3;3,5;1,25
1,25;2,25;1,80767650171541;2,25;1,5;1,25;2,5;3;3,5;1,25
1,35706496814129;0,75;2;0,75;3,78768371734195;2,97240639197287;4,5;0,5;3,5;1,09195078820547
2,5;2,44119813825991;3,7366093684624;3,5;2;2,50495885336071;0,5;2;4;2,5
2;0,75;2,83245631765223;0,75;2,72233724594116;2;4,5;0,5;3,5;2,73755119356213
0,5;4,5;0,5;4,5;1,41762301345245;0,5;0,5;1,57365263070616;1,5237727037276;0,5
2,5;0,5;2,5;0,5;3,5;2,5;4,5;1,18173927915364;3,78941238568603;0,995183765888214
0,710837467671762;2,25;0,986356470029036;2,25;1,5;1,25;3,87882011983489;2,93609714458515;3,5;1,25
0;0,5;2,5;0;3,5;2,5;4,5;2,62275505065918;3;1,71698771683359
0;0,75;2;0,75;4;2;4,5;0,5;3,5;2
1,12522791704406;0,519846179531816;2;0,75;4,32395348945817;2;4,5;0,5;3,5;1,16446808453857
2,21068278616792;0,855134210714667;3;1,940512541421;4;3;0,5;0,5;4,02940922837211;3
1,16083501240277;2,25;0,729883968830109;2,08093442655212;1,5;1,48675024392398;2,5;2,64536341682326;4,81836283524444;1,97301967627044
0,5;0,5;0,5;0,5;3;0,5;3,5;3;1,25;0,5
1,25;2,25;1,25;2,25;1,97340599353118;1,09455099194057;2,5;2,75022003182686;2,17417695940201;1,11173610487568
3;1,25;2,74567058624032;1,25;4;3,08323096813784;0,5;0,5;4,82372295848267;3
2,71201450690255;3,16577495036916;2,5;3,5;2,32967065057236;2,5;0,5;2;4;1,48996569797861
1,16739484209912;0,821104305247359;1,96746354129513;0,75;3,61231378773801;2;4,27934232879399;0,5;3,5;2,73495438310083
1,25;2,25;1,25;2,25;1,5;1,91632539332673;2,5;2,77678344621173;3,5;1,63973434485483
2,5;0;2,5;0,75;4,17589975855122;2,5;0,5;0,667797642139624;4;3,72480672398806
1,25;0,5;1,25;0,5;3;1,25;0,5;3,4927766171716;1,25;1,25
2,5;0,5;2,5;0,5;3,5;2,5;4,5;0,769951652861178;3,22660065126913;2,5
2,5;3,34008906005886;1,07042168270351;3,5;1,39196747000886;2,5;0,5;2;4;2,5
1,25;1,64694521303612;1,25;2,25;1,5;1,86032746283353;2,5;3;3,5;1,25
1,90927114333458;0,75;2,32738293024124;0,75;4,17459777238527;2,5;0,5;2,71909643254201;3,65674299032276;2,5
3,93883570373935;0,908920161849316;2,53908806971232;0,905791107986956;4;3,85142580505993;0,5;0,5;4,96197416305634;3,97572559024008
1,25;2,25;1,25;2,25;1,04945564877682;1,25;2,07405962938166;2,24759722698834;2,70632969248403;1,25
0,5;0,5;0,5;0,5;3;0,5;4,44298581147705;3;1,25;0,5
1,25;2,5721413065084;0,920907030776565;0,966064383492835;1,5;1,78437528795766;1,17196219515612;3;3,5;0,55308012014864
