;both_toy;hightec;hightec;movies;hightec;girl_toy;hightec;hightec;books;gardening
single_men;0;3,73776285757206;4,70069619719903;3,63123590598406;3,12379904842181;0,5;0;0;0;0
mother;3,2366300752557;2,61177702462849;2,30396059914677;1,01318835840243;2,62461507163225;4,15564756894281;3,88760948181152;2,64274102665612;2,66705021386363;0
father;1,0533159086729;4,48134483372855;4,57877303454037;2,59705150015515;0;3,70855316785562;0;1,95037460327148;2,19236304154264;2,12881656649002
mother;0;0;0;2,53868199467598;0;0;0;0;1,00487697124481;1,8389337322856
old_women;1,39543321304742;2,6421781576435;1,31579048224529;0;1,35315621963383;3,19613591078489;1,79950589910127;1,86621272837101;4,5299357788311;0
mother;3,99998360313474;2,04470555672641;4,04356312893497;2,69927882412415;2,55948229998326;0;0;4,31532203327647;2,80874107815732;2,10547727514313
young_men;0;2,83309149742126;4,23913876537194;4,45419676297074;4,78021587421196;0;0;4,68496624272548;2,95131498992039;0,0622358582913876
young_women;0,5;3,83107018470764;4,98419034200916;3,40942477127976;2,92661434175755;0;3,80533599853516;2,90562849254609;0;0,651240693708528
single_women;0;3,99047213047299;3,39102188748821;2,65424118314602;2,6410740384092;0;3,87668442726135;2,33357209541536;1,259599007787;0,5
single_men;2,37196217913738;4,66793718266671;3,40842862446254;0,54568618933935;3,85975133108895;0,5;4,46287491240673;3,27272635897283;2,91784843193267;0
single_women;0,564113385539555;0;0;0;2,06343623998735;0;0;0;4,36867142253028;0,5
single_men;0,604636015652044;3,4679235166255;4,59586797263281;1,78484050500432;4,11565628234095;0,5;3,67829330483372;0;3,38252724026448;0,542023312087182
girls;3,25865977036704;0,757913814279211;1,76929871680648;1,50048990943492;0;0;1,50961482339055;0;1,68050139987865;0
single_men;1,025343213475;3,72396066725439;0;2,34931273797961;4,16655826568604;0;3,63756178535407;4,97431789896186;0;0
girls;0;2,38433742523193;1,70918309688568;1,0832722392321;2,78929686546326;3,86323158948833;1,90266438592349;0,356686949729919;2,47259218686847;0
old_men;0,657890789517151;0;0;0,659138441085815;0;1,33281568313614;3,85002716321034;1,0950389868091;0;4,54468371744486
boys;3,63822707423858;1,40034108813868;0;0;0,684927909022629;0,693558669506367;0,549946975219039;1,28968531116363;0;0
father;2,99184059071906;4,13256990869184;0;4,80073928311502;0;3,46195101737976;3,62358044396321;2,84369468688965;1,76533777954305;4,3829449286605
boys;0;1,91300164182345;0,931100726127625;0;0,500913748285227;0;0,548461440740368;0,760827385476244;1,37184811121405;0
father;0;3,99190058977897;4,51013362384873;0;0;3,91535291770257;4,43396547317224;4,30324952830712;0;4,20487717781443
single_men;2,00018587196254;0;4,36280053731184;3,31246066922902;3,82804963683153;0,5;3,94286248969979;3,69231839137725;0;0,86527806327924
father;2,15391373594939;4,34109820394828;4,86459301685197;0;4,34363910804672;3,95675707746146;4,5758299434445;4,68306513767832;2,65404622706307;2,63129883894292
single_men;2,63565067836812;3,40293667204815;4,28585923057322;3,15517286474592;4,71534706080116;0,5;3,77880423645433;4,50061447336367;3,27679872758537;0
old_women;2,85430429566386;0,811797009926195;0,565867331608137;1,05335110149037;1,92327606678009;0;0,932034331807883;1,32175480007276;4,00984284002792;0,759882586663534
old_men;1,53539664462926;0;1,17649911398836;3,0705221279387;3,82819057271266;1,72795916242896;0;3,39917633701077;4,65602049262078;4,03519161605984
single_women;0;0;3,64403174335325;1,4398760557826;0;0,5;0;2,44812679497904;1,27482979571206;0
single_women;0;0;0;0;3,99392700288162;0,5;2,52184107551437;2,35657358169556;2,56619216574644;0,5
old_women;0;1,0308731566327;0;0;2,89238195465523;2,50763511657715;0,591897904872894;1,44090370272328;4,04577664707125;0
young_men;0,5;4,17596652134134;0;3,12806021893772;4,04411547213984;0;0;4,42266633846921;0;0,569146223165629
single_women;0,783235403375344;2,9309298992157;0;2,80552393119108;2,45399072787445;0;2,46198384019639;2,55083502016535;4,60601336490643;0,5
single_women;1,09658401347538;0;0;2,86055859707322;3,57857080343113;0,5;0,243811801075935;2,14715785540042;4,9936628080875;0,5
father;0;4,80659237588131;0;2,67510094385366;4,16595011817568;0;3,52582525393266;4,53307814781232;1,20035484442504;4,42647242845337
mother;3,10187328471889;2,32602317646426;4,47403574896699;1,67337603525881;1,9244784116745;4,63538044906938;4,05735281810973;0;3,11341836727849;0,545886873288959
father;1,32647432402078;4,31155000594982;4,97570608741404;0;0;3,29056404497966;4,11143460921544;4,69166028298981;1,43265097748146;0
old_women;1,9234634195098;1,87050934083318;2,30250153727946;1,61222650418627;2,13096114836212;2,85309484175085;0;1,19652247740725;4,03821181088603;1,12791617383618
father;1,72701165393321;3,58268323195292;3,24971622053986;3,52654945688627;3,40768924653888;3,86805755732025;4,94250832495396;0;1,65690271726665;2,92584846770663
old_men;0,84065362640687;1,38283626916019;2,53352078028653;1,57303970636476;1,48452258505138;1,72495668648042;2,2729207325135;0;4,36595656227598;4,56221159108086
old_men;0;0,630149355684477;1,56277269966098;0;2,01877506473976;0;0;0;4,57862713401142;0
single_women;1,26298267499683;3,02220723639345;0;1,84461971178866;0;0,5;0;2,74907179584218;2,07633018493652;0,5
single_women;0;3,92385081105114;2,92577125175193;0;0;0,5;2,12939403957193;0;1,53062318476412;0
boys;0;1,45020258426666;1,40110324202157;1,74674618372076;0;1,10538638923568;0;0;1,38030623010374;0,5
single_men;1,08096560210966;3,26357966114934;3,86491745936913;0,532527741758399;3,16361575674434;0,5;5;3,69426834149951;0;0,549221985996339
old_men;1,60232992731143;1,95065653065716;0;1,06422902390558;3,0613016544661;0;2,01189141115727;1,20036948644573;4,909105041022;4,86020232683988
single_men;0;3,20451875878708;0;2,6926474571228;0;0,5;3,2046464999228;3,88530765421936;0;0
single_women;0,972269482432059;2,29288568454463;3,9406368238575;0;3,50698819640418;0;0;2,32570654727784;2,27075324080454;0,5
mother;0;3,02147458774106;0;1,88560827187524;0;0;4,02858518205052;2,49271799367513;2,17768377912123;0,833788116617961
boys;3,56379822993828;0;0;1,83294662173509;0;0;0;1,90999157606158;0;0
girls;2,54307171075748;1,27291929618126;1,72370247949087;1,4277195387649;1,50874485308712;4,62395824101938;1,34884346991258;1,51330215251693;2,197002503647;0
old_women;0;0;2,56475800232252;0;0;2,92266668887933;0,590270421975418;0;4,12740914529534;1,39950853418536
young_women;0;4,71139442301886;4,89741837135396;2,04235219955444;2,64220100717722;1,73977167799127;3,51970086922855;3,05193734169006;3,51542169624726;0
