music_classic;movies;girl_toy;movies;hightec;makup_beauty;music_pop;boy_toy;sport_stuff;movies
1,75;2,25180659478149;4,5;2,90785479545593;3,5;2,5;1,25;4,5;1,09442526292728;1,75
0,5;1,5;1,25;1,5;1,25;0,5;1,25;4;3;1,5
1,75;1,75;4,5;2,55184205647178;3,5;2,55676986256464;1,25;4,5;1,45088010116056;1,75
1,75;3,5;3,45805329757652;3,5;4;0,5;2,95329434981257;3,5;2;3,7554494076201
0,5;1,5;4;1,5;1,25;2,83310921203024;0,5;1,25;3,42433891046063;1,5
1,75;1,75;4,18443603822237;2,47352684078437;3,5;2,5;1,16672774109371;4,5;1,5;2,94875712434238
1,25;0,700077234860546;0,5;1,75;3;4,5;2,5;0,5;3,5;1,75
0,75;3,33949481572001;1,40071376431767;3;3,5;4,5;2;0,75;4;3
0,75;2,25;0,5;1,11195396776868;4;0,5;2,5;0,5;4;2,25
1,25;1,75;0,5;1,75;3;4,5;2,5;0,5;3,58571481704712;1,75
1,25;1,75;0,5;1,75;3,10960217430703;4,5;2,5;0,5;3,5;1,75
1,75;3,5;3,5;3,5;4;0,5;2,5;3,21979887374667;2;3,5
1,25;1,75;0,5;1,75;3;4,5;2,5;0,5;3,5;1,75
1,75;1,75;2,85924243927002;0,972998415573034;3,5;1,17035105087345;1,25;4,5;1,98839508694987;1,75
0,75;3;1,5;3;3,5;4,5;2;0,792828469906388;4;3
0,75;2,25;0,5;1,76194752904677;4;0,5;2,5;0,5;4,04527702324338;2,25
0,965774673254124;1,75;0,5;1,75;3;4,76090678701219;1,13156289008053;0,5;3,5;1,75
1,94320878616684;1,75;4,5;1,75;3,5;1,73398708819132;1,25;4,5;1,5;1,75
0,75;3;1,5;3;2,79823586940683;4,5;2;0,75;4;3
1,75;1,75;4,51706218719482;1,75;3,5;2,5;0;4,5;1,5;1,75
0,75;2,25;0,5;3,2830238266769;4;0,5;1,20158210173323;0,5;4;2,25
0,5;1,5;1,25;1,5;1,25;0,5;1,25;4;3;1,5
3,5;3,00565932924191;1,5;1,89439331129864;2,25;0,5;0,5;1,25;1,5;2,25
0,75;2,25;0,5;0,501749261981691;4;0,5;2,5;0,5;4;1,05135770400584
1,75;1,75;4,35129136841339;1,75;3,5;2,5;1,25;4,5;1,5;1,75
1,25;1,75;0,5;1,75;3;4,5;2,5;0,5;3,48144852718406;2,17939074881346
0,701759964787289;3,5;3,5;3,5;4;0,5;2,96277846068273;3,5;2;3,5
0,75;3;1,5;3;3,5;4,5;2;0,75;4,98578293434614;3
1,32212428088399;1,75;0,5;1,75;3,50983639783684;4,5;2,5;0,5;3,5;1,75
1,75;3,5;3,24558877397589;3,5;4;0,5;2,5;3,5;2;3,5
1,75;2,28892968422218;4,5;1,75;3,5;2,5;1,25;4,20359086860138;1,5;1,75
1,75;1,75;4,5;1,75;3,5;2,5;0,536703350272357;4,5;1,5;1,75
0,75;2,25;0,5;2,25;4,74263817153063;0,5;2,5;0,5;4;2,25
0,886369706777097;1,75;0,5;1,75;3;4,5;2,5;0,5;3,06590263362317;1,75
0,804305514229604;2,25;0,5;2,25;4;0,5;2,5;0,5;4;2,25
0,75;2,25;0,5;2,25;4;0,5;2,5;0,5;4;1,2108929689093
4,5;2;3;2;1,75;3,5;0,5;1,87661898136139;1,25;2
1,75;1,75;4,55700158865983;2,96489857205418;3,5;2,16709937349292;1,25;4,5;1,5;1,75
0,75;3;1,5;3;3,5;4,10339486650349;2;0,75;4;3
3,5;2,25;2,40844774246216;1,72402237785236;2,25;0,5;0,5;1,25;1,5;1,2470035237479
1,25;2,56137586597417;0,5;1,75;3;4,5;3,51247522398479;0,5;3,5;1,75
1,25;1,75;0,5;1,75;3;4,5;3,50414445740364;0,5;3,5;1,75
1,21533567654683;3,5;3,5;3,5;4;0,5;2,5;3,75977739401151;2;2,15029092698837
4,5;2;3;2;1,56859946091128;3,5;0,5;2,25;1,25;2
0,5;1,62830145034394;4;1,5;1,25;3,5;0,5;1,25;3;1,5
0,5;1,5;1,25;1,5;1,25;0,5;1,25;4;3;1,5
1,4145657757365;1,75;0,5;1,75;3;4,5;2,5;0,5;3,5;1,75
1,75;3,5;3,5;3,66366071284919;4;0,5;2,5;3,5;2;3,5
4,5;1,03289358598781;3;2;0;3,5;0,5;2,25;1,25;2
1,25;1,75;0,5;1,75;2,75884404441288;4,5;2,5;0,5;3,5;1,75
